CO(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.5027312009084736,0.3087270716663274,0.42287413682829955,-0.3571661101778907,0.9899570681144794,0.040987208912167505,0.7125889397347842,0.6493454409563248,-0.5426468527393259,-0.020531888058282443,-0.6734307596281884
-0.02540889904106917,-0.06354146980362146,0.07029738330909255,-0.7851020770701822,1.5018675190621922,-0.4714428725037641,0.3136009847741413,-0.12070133247275201,-0.5773089497246,-0.0912280707855495,-0.7550454125831891
0.15063780094211188,-0.12310443643881333,0.0083058662068144,-0.5949083140069416,1.3543678976026818,0.0653886413605452,0.3016013470309641,0.14465262323591635,-0.7390654023225466,0.27992688853260367,-0.6926342073823064
0.15063780094211188,-0.09332295312121752,0.04317609457684586,-0.31641030380719626,1.1461331378951376,0.26060010094756675,0.388598720668999,0.48024733192629104,-0.8430516932783694,0.6334078021689401,-0.6004071227737143
-0.3775022990074309,-0.49537297790876217,-0.3907645251391012,-0.5949083140069416,1.6363524680399812,0.1141915062573006,0.10660723370433407,0.23830696054485814,-0.8199436286215199,0.6098424079265178,-0.5951009069469186
-0.7295956989737928,-0.7634063277671254,-0.7239689295638463,-0.8801989586018025,2.208998057235728,-0.3738371427102533,-0.18438398156771377,-0.18053604797568704,-0.8199436286215199,0.5862770136840955,-0.6052079847122436
-0.7295956989737928,-0.9272044860139029,-0.9564371186973893,-1.0636000872699274,2.4866444035124533,-0.8374643592294295,-0.3643785477153722,-0.7424620718293377,-0.808389596293095,0.44488464822956053,-0.6671138360248604
-0.9056423989569736,-0.9718767109902967,-1.0261775754374522,-1.0636000872699274,2.4866444035124533,-0.8618657916778073,-0.3643785477153722,-0.7502665999384162,-0.8777137902636437,0.6334078021689401,-0.6420988185556805
-0.9936657489485642,-1.1207841275782764,-1.2702691740276726,-1.1790748719868949,2.4866444035124533,-1.2522887108518503,-0.5353733855556477,-1.0364326306046272,-0.8777137902636437,0.6157337564871235,-0.6557433735388694
-1.2577357989233353,-1.2101285775310642,-1.4562437253345069,-0.26206922864627036,2.4866444035124533,-0.05661852088134328,-0.6583696724232143,-1.3460122455980736,-0.9239299195773425,0.6451904992901515,-0.6888440532203093
