Overall Pollutant Concentration (PC1),Temperature and Humidity vs. Nitrogen Oxides (PC2),Relative Humidity (PC3),Nitrogen Oxides and Temperature (PC4)
0.38379004807511186,-0.31542667981022604,-0.11556877093644874,-1.3906338240947584
-0.9827534323690901,-0.17832416250075675,-0.18567438346080903,-1.4799871497404984
-0.6048151559883093,-0.5887325005670156,0.07690390842887218,-1.1582758187028588
-0.20549803824471521,-0.8089128071129265,0.4360090360970988,-0.9891351635474522
-1.20934311175032,-0.7652860370795339,0.40029104765544193,-0.8904324065335115
-2.2601890964933724,-0.6274500401043762,0.4159636033551153,-1.021793239673244
-2.980783038241202,-0.4845003811598813,0.3131163415545001,-1.131504297395436
-3.1027495219815218,-0.5361805648083312,0.5106538836522557,-1.1038264218276104
-3.5998003332837545,-0.4539501877906871,0.5613400159649814,-1.1123394778297693
-3.3300988796234776,-1.1657933744066522,0.25730504169617074,-0.058779940290664925
-3.9806796204130186,-0.4556601207681779,0.6844783285024144,-1.2538359427152101
-4.453772212533506,-0.2294646090402388,0.5021727231661515,-1.2245790282316442
-4.101643380175627,-0.4173170300096436,0.49853541124018985,-1.0991938226310893
-2.968720138526521,-0.7247199795400155,0.4445010274177423,-0.9876958422209511
-0.7186724164376704,-0.8503533349065363,0.28993983505025567,-0.9816483097700414
-0.5709100708700702,-0.5859077902261361,0.552288244014463,-1.2996332159359765
-1.687154476101972,-0.6620711602950498,0.3535385563966931,-1.034704056219579
-2.4467303670366234,-0.7009582589987831,0.2639923503241084,-1.0034889566317304
-2.2700136755940945,-0.7972259642998049,0.779984274005039,-0.924748379055763
-1.222674460266887,-0.9907154772371717,1.3131385232090929,-0.8384656415140181
0.5332776104200476,-1.075967909894434,1.6010464553617763,-0.9518459339370422
-0.38444514502875615,-1.0544012903029987,1.508163751587237,-0.7575053217526019
-0.4566503924394051,-1.01667107937679,0.9799968404115073,-0.604085188307665
0.639959887871294,-1.0204257619785797,0.8113780819872602,-0.8182135491344804
3.3857483607397807,-0.7395819736260257,0.6633057730090269,-1.6075673645711326
5.009289361130064,-0.8725080620603667,0.9520024508993027,-1.765218396976327
4.374320736821523,-0.9345127937961148,0.8696838410918191,-1.6576935542280395
1.3724279980106864,-1.2199998626789033,0.582667381778659,-1.1287398192668554
-2.4320744394135154,-0.9997497586216397,0.6238429536699344,-1.2167334304155528
-3.6896537683960227,-0.7268588045427085,0.6011780977004652,-1.3651208048120063
-1.9314450188549313,-1.0722998888783581,0.2829992811936364,-1.146999202602827
-1.6626456340216647,-1.2646309148383996,0.257501495353589,-1.0711481531615608
-2.815499969101768,-1.1675486838229545,0.4243249077674963,-1.2263876880146534
-3.3121819493360705,-1.6411519307835725,0.30412356172902405,-0.30824010190433543
-4.205754418275602,-1.000448165921539,0.9179003571925078,-1.4303886170112416
-4.471750561644247,-0.9645755706579829,0.8375369894972386,-1.2361082405681043
-3.851266823338936,-1.0808490469874406,0.5796564669284147,-1.080800032537189
-2.5146353778876116,-1.3390970067740942,0.5637962664093513,-1.1170012221521697
2.6026419233490414,-1.35630802229998,0.5364604636810242,-1.6346896211298771
2.2393599157813058,-0.1879891430854915,0.5310971494603524,-2.5648770476515756
1.073836230292778,-0.4867251717965272,-0.6212805511154326,-1.4456749197777705
0.6382664155682692,-0.73509929267154,-0.998625607315682,-0.8353611643119098
-0.4427903363023048,-0.30946411814136543,-0.9927310431055317,-1.1224716187708998
-0.039339090955759874,-0.21438807088185893,-1.115110647752117,-1.1144126856957162
0.5176387970526164,-0.1490487042382981,-1.0387873854386966,-1.1765069186996528
0.9974137855183641,-0.18036123127325984,-0.9318887758505068,-1.2728390149249547
0.5861231275065615,-0.21727654542383,-0.9165595709867228,-1.187473258969337
